class id,completeness (mesh),accuracy (mesh),normals completeness (mesh),normals accuracy (mesh),normals (mesh),completeness2 (mesh),accuracy2 (mesh),chamfer-L2 (mesh),chamfer-L1 (mesh),f-score-1 (mesh),precision-1 (mesh),recall-1 (mesh),f-score-2 (mesh),precision-2 (mesh),recall-2 (mesh),f-score-12 (mesh),precision-12 (mesh),recall-12 (mesh),f-score-15 (mesh),precision-15 (mesh),recall-15 (mesh),iou (mesh)
02691156,0.021452758,0.012746375,0.7805889508883912,0.8173037964689345,0.7989463736786628,0.001611674,0.00027566013,0.0009436670082472484,0.017099566933812923,0.4624437172380181,0.4955590852904821,0.4353951915945612,0.7538359847106622,0.8031706674907293,0.7131657972805934,0.5365375413948624,0.573558281829419,0.506228108776267,0.6324292813009894,0.6747673176761434,0.5976518788627936,0.52906203
02828884,0.015003201,0.014489103,0.7763866235898786,0.8057004039549497,0.7910435137724141,0.0004281677,0.00047261236,0.0004503900377569238,0.014746151483533058,0.4462349399283149,0.461918044077135,0.4342057024793388,0.7598403364655067,0.7714226721763086,0.7521964738292012,0.5257480377137267,0.5417541322314049,0.5136605509641873,0.6294774790220512,0.6445838567493113,0.6184384022038568,0.46645218
02933112,0.017200647,0.0133187575,0.8468412464419299,0.8651524073984223,0.8559968269201761,0.0007482644,0.00051916303,0.0006337137297905312,0.015259702581686864,0.5505818015011315,0.5992241082802549,0.5177984713375796,0.7901875437736064,0.8442334713375796,0.754849617834395,0.6283402056913618,0.6807097452229299,0.5936367197452229,0.7058487160628165,0.7601983757961783,0.6702479299363058,0.75696975
02958343,0.018929554,0.009653194,0.8071261921583457,0.8744100021023913,0.8407680971303686,0.0008276282,0.00018686864,0.0005072484322138373,0.014291373417937035,0.5628180250408642,0.6527007738492329,0.5017619012675116,0.7993383507720462,0.9153468779186125,0.7197885857238159,0.6395776358622823,0.7404847098065377,0.5710931687791861,0.7215536029152169,0.8326488925950634,0.6460414342895263,0.765313
03001627,0.013319536,0.015474421,0.828045258676911,0.8282432067648241,0.8281442327208676,0.00036225087,0.0006682543,0.0005152525630965571,0.014396978699605623,0.513585304031005,0.5057621254612547,0.5246551217712178,0.7977496148097049,0.783570036900369,0.8167500073800738,0.592221788274303,0.5819099630996311,0.6064557859778598,0.6859529330769752,0.673118073800738,0.7033104206642067,0.62201154
03211117,0.015118684,0.0133867785,0.8698515437539287,0.8775804824322143,0.8737160130930715,0.0004911593,0.0004894628,0.0004903110895952004,0.014252731597825,0.4946103244232056,0.5207245205479452,0.4788606392694064,0.7834780813048384,0.8080624657534247,0.7691439726027397,0.5707577158798183,0.5976527853881279,0.5548091324200913,0.6637995924966474,0.690594200913242,0.6480738812785388,0.6705695
03636649,0.015845783,0.017300371,0.7826846694267565,0.7834177269904324,0.7830511982085945,0.0011281612,0.00095862575,0.0010433934403173062,0.016573076726784267,0.505993060692743,0.4978281857451404,0.5264083369330453,0.769424094072377,0.7610925269978401,0.7925892440604752,0.5794422062274913,0.5699716846652267,0.6026645572354211,0.6676763353561631,0.6578033909287258,0.6924196976241901,0.5148376
03691459,0.023013024,0.018496431,0.8190008745645773,0.8413485250062662,0.8301746997854218,0.0014784669,0.0011182887,0.0012983778212426718,0.020754727268239754,0.486001661254639,0.5329947678018576,0.45511894736842107,0.7080916218776264,0.7580249845201239,0.6779657894736841,0.5551302820568488,0.6048130340557276,0.5233441486068112,0.6261825195476012,0.6768369349845201,0.5946739009287926,0.7432291
04090263,0.010694627,0.011912432,0.801886672577938,0.8351711660136653,0.8185289192958015,0.00034861657,0.00028888942,0.0003187529869540447,0.011303529075547299,0.5697648564176298,0.5437399367088608,0.6016418987341773,0.8636409508118508,0.8378387341772152,0.8941232911392405,0.6521497193659755,0.6238504852320675,0.6866225949367089,0.7513785429307059,0.7220909493670886,0.7866297679324894,0.5168911
04256520,0.017122703,0.021635557,0.8423756623122971,0.846130523744979,0.8442530930286379,0.0006189547,0.0028250264,0.0017219906179837578,0.01937912958630064,0.5004783982352783,0.5245698895899054,0.48325518927444794,0.7323295826449918,0.7558391955835962,0.7169553154574132,0.5658555212508231,0.5904290694006309,0.548692429022082,0.6420052683257876,0.6666090536277602,0.625275141955836,0.71267164
04379243,0.015185366,0.017804442,0.8400980631657333,0.8407420339695321,0.8404200485676326,0.0005061026,0.0013764036,0.0009412530872031901,0.016494904847094007,0.4481515903655406,0.4545998471487361,0.4455238330393886,0.7784849234020961,0.777831998824221,0.7847457907113462,0.5348353322689557,0.5402210052910053,0.533862480893592,0.6452488487303956,0.6482032627865961,0.6473016402116402,0.53485864
04401088,0.012757328,0.008155886,0.9093659305113996,0.9195239908900308,0.9144449607007152,0.00046416852,0.00023070628,0.0003474374075397334,0.010456607606084575,0.7240931569277438,0.8028405714285715,0.6714953809523809,0.8883354314584454,0.9485032380952381,0.8448272857142857,0.7834328572901378,0.8596239523809523,0.7314890952380952,0.8378451930310588,0.9081284285714286,0.7886787142857143,0.76486033
04530566,0.01417694,0.011573017,0.8189982232607684,0.8393552793969433,0.8291767513288558,0.00042954908,0.00029133089,0.00036043997449248074,0.012874978004884966,0.560669615895646,0.5925671059431524,0.5361331524547803,0.8106050139938802,0.8475439018087855,0.7818136175710594,0.6330956601575816,0.6671894056847545,0.6067856589147287,0.7168704706483991,0.7529537467700258,0.6888987080103358,0.6452106
