idx,class id,class name,modelname,mesh,time (encode inputs),n_decoder_calls,n_queries,n_query_chunks,time (decode),time (host transfer),mise iterations,mise max query points,time (mise init),time (mise query),time (mise update),time (mise dense),time (mise),time (mise assign values),time (mise subdivide),time (mise dense alloc),time (mise dense write),time (mise dense fill),mise grid points,mise voxels,mise subdivisions,mise dense mb,mise subdivisions level 1,mise subdivisions level 2,us_per_1k_queries,time (eval points),time (marching cubes)
0,02691156,"airplane,aeroplane,plane",d18592d9615b01bbbc0909d98a1ff2b4,1.7481987476348877,1.5889813899993896,6,67292,6,0.06933760643005371,0.002722024917602539,6,35937,0.010727117001806619,0.004406765001476742,0.025554295993060805,0.014364366001245799,0.055052543997589964,0.007777360999170924,0.017738789996656124,0.008671740997669986,8.159600110957399e-05,0.005604388999927323,67292,58288,3190,17.173512,658,2532,1030.3989542598483,0.12824559211730957,0.02893853187561035
1,02828884,bench,c83b3192c338527a2056b4bd5d870b47,0.09452676773071289,0.009716987609863281,6,102156,6,0.017871379852294922,0.002077817916870117,6,52519,0.0035985269969387446,0.0011943259996769484,0.028974070002732333,0.007855548999941675,0.0416224719992897,0.012959807998413453,0.01596442600202863,0.0025312770012533292,0.00011466700016171671,0.0052044340009160805,102156,86792,6753,17.173512,1319,5434,174.9420479687431,0.06215786933898926,0.020991086959838867
2,02933112,cabinet,b06b351b939e279bc5ff6d1af2135fc9,0.1148221492767334,0.012275218963623047,7,161427,7,0.02190852165222168,0.0026047229766845703,7,99039,0.0008379249993595295,0.0020032919928780757,0.04037980300199706,0.007218604998342926,0.05043962499257759,0.023520955990534276,0.01682046599671594,0.0020521609985735267,0.00017557099999976344,0.004984942999726627,161427,134312,12693,17.173512,2457,10236,135.7178269572109,0.0756676197052002,0.024243593215942383
3,02958343,"car,auto,automobile,machine,motorcar",cbc946b4f4c022305e524bb779a94481,0.08762645721435547,0.008168458938598633,5,97671,5,0.013039588928222656,0.0015931129455566406,5,49196,0.000716346999979578,0.001020056995912455,0.0192425830027787,0.011023527000361355,0.03200251399903209,0.012915630995848915,0.006298389995208709,0.005574668000917882,0.00011097699825768359,0.0053330919981817715,97671,82520,6219,17.173512,1251,4968,133.5052259956656,0.047219276428222656,0.030235767364501953
4,03001627,chair,cbc47018135fc1b1462977c6d3c24550,0.30017805099487305,0.013675451278686523,14,288257,14,0.039476633071899414,0.005033016204833984,13,199191,0.0008096339988696855,0.005753980000008596,0.17522575299881282,0.013657429997692816,0.19544679699538392,0.04198047500176472,0.13315707699075574,0.007771641998260748,0.0003261909987486433,0.005553046998102218,288257,238584,25727,17.173512,5089,20638,136.94943426143828,0.2415449619293213,0.04044914245605469
5,03211117,"display,video display",d7ab9503d7f6dac6b4382097c3e8bcf7,0.07668590545654297,0.010565042495727539,5,103606,5,0.015980005264282227,0.002144336700439453,5,53373,0.000791689999459777,0.0011111930070910603,0.017435299003409455,0.006257333003304666,0.025595515013264958,0.012897005999548128,0.004508068999712123,0.001112133999413345,0.0001134570011345204,0.0050267119986529,103606,87248,6810,17.173512,1370,5440,154.23822234505943,0.04422402381896973,0.018729448318481445
6,03636649,lamp,d153ae6d65b31e00fcb8d8c6d4df8143,0.09145760536193848,0.009947538375854492,9,115123,9,0.021352529525756836,0.002607583999633789,9,62698,0.0007395430002361536,0.0016961820074357092,0.027008471992303384,0.006062928998289863,0.03550712599826511,0.015389030995720532,0.01157705599325709,0.0008353349985554814,0.0001266390027012676,0.005096295000839746,115123,96672,7988,17.173512,1563,6425,185.47579133411077,0.06010031700134277,0.019019126892089844
7,03691459,"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",c91e878553979be9c5c378bd9e63485,0.11535882949829102,0.009624242782592773,7,147353,7,0.02785944938659668,0.002634763717651367,7,86995,0.0007033060028334148,0.0017511350015411153,0.04172048500186065,0.005593416000920115,0.0497683420071553,0.02191127699916251,0.019767114012211096,0.00028194900005473755,0.0001617699999769684,0.00514378600200871,147353,123488,11340,17.173512,2326,9014,189.0660481062257,0.08100438117980957,0.02134227752685547
8,04090263,rifle,ca2bafb1ba4b97a1683e3750b53385d5,0.06470370292663574,0.009022235870361328,5,61486,5,0.013288259506225586,0.0016369819641113281,5,35937,0.000727671998902224,0.0006623730077990331,0.008222022999689216,0.007328251998842461,0.016940320005232934,0.006789497001591371,0.0014077839987294283,0.0015372210000350606,7.679500049562193e-05,0.0057096960008493625,61486,53728,2620,17.173512,503,2117,216.11845796157803,0.032338857650756836,0.0224454402923584
9,04256520,"sofa,couch,lounge",cc7b690e4d86b471397aad305ec14786,0.09844470024108887,0.013259172439575195,5,130732,5,0.014744043350219727,0.002040386199951172,5,74614,0.0007490440002584364,0.0013134649998391978,0.029224644000350963,0.006374130000040168,0.037661283000488766,0.01715114200123935,0.01204349900217494,0.0005788269991171546,0.00013881900304113515,0.005650842998875305,130732,108896,9516,17.173512,1943,7573,112.78067611770436,0.05501532554626465,0.026953697204589844
