idx,class id,class name,modelname,mesh,time (encode inputs),time (eval points),time (marching cubes)
0,02691156,"airplane,aeroplane,plane",d18592d9615b01bbbc0909d98a1ff2b4,2.0360729694366455,1.8616588115692139,0.1448507308959961,0.027315616607666016
1,02828884,bench,c83b3192c338527a2056b4bd5d870b47,0.29849815368652344,0.008266448974609375,0.2679941654205322,0.018819808959960938
2,02933112,cabinet,b06b351b939e279bc5ff6d1af2135fc9,0.18926262855529785,0.00938868522644043,0.1506812572479248,0.02364182472229004
3,02958343,"car,auto,automobile,machine,motorcar",cbc946b4f4c022305e524bb779a94481,0.10699343681335449,0.011188745498657227,0.07599520683288574,0.017055749893188477
4,03001627,chair,cbc47018135fc1b1462977c6d3c24550,0.2212505340576172,0.011066198348999023,0.17237138748168945,0.03159022331237793
5,03211117,"display,video display",d7ab9503d7f6dac6b4382097c3e8bcf7,0.11693048477172852,0.008129119873046875,0.08838510513305664,0.016805648803710938
6,03636649,lamp,d153ae6d65b31e00fcb8d8c6d4df8143,0.13518404960632324,0.008416891098022461,0.10470032691955566,0.01849365234375
7,03691459,"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",c91e878553979be9c5c378bd9e63485,0.14565134048461914,0.007905006408691406,0.11424422264099121,0.019658327102661133
8,04090263,rifle,ca2bafb1ba4b97a1683e3750b53385d5,0.07744956016540527,0.00841832160949707,0.05331230163574219,0.014168977737426758
9,04256520,"sofa,couch,lounge",cc7b690e4d86b471397aad305ec14786,0.13178658485412598,0.007861137390136719,0.10201573371887207,0.0179593563079834
10,04379243,table,cd4e8748514e028642d23b95defe1ce5,0.12154507637023926,0.009242773056030273,0.09223628044128418,0.016714811325073242
11,04401088,"telephone,phone,telephone set",d2f3eb92a31649647c17b7a9bb17a24,0.10523533821105957,0.008267402648925781,0.07688474655151367,0.017067909240722656
12,04530566,"vessel,watercraft",cd67f7d1ba943b162f84cb7932f866fd,0.12629437446594238,0.008776187896728516,0.09529590606689453,0.017920494079589844
