class id,mesh,time (encode inputs),time (eval points),time (marching cubes)
02691156,2.0360729694366455,1.8616588115692139,0.1448507308959961,0.027315616607666016
02828884,0.29849815368652344,0.008266448974609375,0.2679941654205322,0.018819808959960938
02933112,0.18926262855529785,0.00938868522644043,0.1506812572479248,0.02364182472229004
02958343,0.10699343681335449,0.011188745498657227,0.07599520683288574,0.017055749893188477
03001627,0.2212505340576172,0.011066198348999023,0.17237138748168945,0.03159022331237793
03211117,0.11693048477172852,0.008129119873046875,0.08838510513305664,0.016805648803710938
03636649,0.13518404960632324,0.008416891098022461,0.10470032691955566,0.01849365234375
03691459,0.14565134048461914,0.007905006408691406,0.11424422264099121,0.019658327102661133
04090263,0.07744956016540527,0.00841832160949707,0.05331230163574219,0.014168977737426758
04256520,0.13178658485412598,0.007861137390136719,0.10201573371887207,0.0179593563079834
04379243,0.12154507637023926,0.009242773056030273,0.09223628044128418,0.016714811325073242
04401088,0.10523533821105957,0.008267402648925781,0.07688474655151367,0.017067909240722656
04530566,0.12629437446594238,0.008776187896728516,0.09529590606689453,0.017920494079589844
