class id,mesh,time (encode inputs),time (eval points),time (marching cubes)
02691156,1.500004768371582,1.3391027450561523,0.13124752044677734,0.0273587703704834
02828884,0.10903024673461914,0.008551597595214844,0.07962703704833984,0.018296241760253906
02933112,0.1899418830871582,0.009720802307128906,0.1502537727355957,0.025238752365112305
02958343,0.10373091697692871,0.00815272331237793,0.07671356201171875,0.016386032104492188
03001627,0.2191944122314453,0.008533716201782227,0.1823275089263916,0.02304863929748535
03211117,0.11080527305603027,0.00839686393737793,0.08010244369506836,0.01903820037841797
03636649,0.13231348991394043,0.00791311264038086,0.09938526153564453,0.02091360092163086
03691459,0.16532301902770996,0.008381843566894531,0.132951021194458,0.02010941505432129
04090263,0.08901572227478027,0.008266925811767578,0.06375932693481445,0.015267610549926758
04256520,0.1291491985321045,0.009997367858886719,0.09724783897399902,0.018054962158203125
04379243,0.12819910049438477,0.009305238723754883,0.09784436225891113,0.017670154571533203
04401088,0.12960267066955566,0.008905649185180664,0.09752082824707031,0.01806020736694336
04530566,0.1472926139831543,0.011102676391601562,0.1138758659362793,0.017614126205444336
