class id,completeness (mesh),accuracy (mesh),normals completeness (mesh),normals accuracy (mesh),normals (mesh),completeness2 (mesh),accuracy2 (mesh),chamfer-L2 (mesh),chamfer-L1 (mesh),f-score-1 (mesh),precision-1 (mesh),recall-1 (mesh),f-score-2 (mesh),precision-2 (mesh),recall-2 (mesh),f-score-12 (mesh),precision-12 (mesh),recall-12 (mesh),f-score-15 (mesh),precision-15 (mesh),recall-15 (mesh),iou (mesh)
02691156,0.00862752,0.008537473,0.8412819985328264,0.8636642446447208,0.8524731215887736,0.00013631405,0.00013368763,0.00013500084106612384,0.008582496174066633,0.698074171819499,0.6997329666254636,0.6972781829419037,0.9253335218255612,0.9268171446229914,0.9245573794808405,0.7734536288513655,0.7749080346106305,0.7728974289245982,0.8520728307103754,0.8535073794808405,0.8514954017305315,0.64636195
02828884,0.007310361,0.007430937,0.8639322278995725,0.878279038785387,0.8711056333424799,9.7982e-05,0.00012928144,0.00011363172509873314,0.007370649154500692,0.8122626198924183,0.8198741873278237,0.8067265840220386,0.9610558909455387,0.9595776859504133,0.9638448760330579,0.8753563213837986,0.8806573278236914,0.871965564738292,0.9241083442375951,0.9259686776859504,0.9239193388429752,0.65056086
02933112,0.011012744,0.0077523966,0.9136493292184109,0.9307262928494113,0.9221878110339112,0.00042377767,0.00012868448,0.00027623106855392094,0.009382570212837428,0.7805618614412378,0.8133255095541401,0.7571830891719745,0.9221044567119884,0.9542260191082802,0.9005670700636942,0.8431600513610639,0.8769173885350319,0.8197384394904459,0.8891087902259224,0.9229303503184714,0.8661254777070063,0.8527308
02958343,0.016962964,0.008509465,0.8157087840278673,0.8818090758087911,0.8487589299183292,0.000738179,0.00012996903,0.00043407400025571185,0.012736214060781199,0.6365582197968681,0.7106772381587726,0.5831682988659106,0.8384463442443282,0.9380194596397597,0.7670053235490327,0.7086324049338798,0.7925342161440961,0.6484189192795197,0.7782161806078457,0.8716572581721147,0.7112770446964642,0.80035037
03001627,0.009358861,0.010493716,0.8796222290272386,0.8759829790479552,0.8778026040375968,0.00021784924,0.00030019926,0.0002590242393441134,0.009926288489705962,0.7110683611478098,0.6992281180811808,0.7265950774907749,0.904920732230872,0.8919965461254613,0.9215602435424355,0.782802996956148,0.7691328560885609,0.8005521623616236,0.8477789912850027,0.8336856014760148,0.8659920442804429,0.72017163
03211117,0.007883395,0.009253532,0.9381711358846972,0.9262582886512969,0.9322147122679971,0.00014253201,0.00031738722,0.00022995961248375248,0.008568463366495692,0.8218306476144306,0.8176357534246576,0.8279233333333333,0.94241477768232,0.9340064383561645,0.9530583561643835,0.8794526459686706,0.8733960273972603,0.8876398173515982,0.9165511865052648,0.9090749315068494,0.9262891324200913,0.8000284
03636649,0.014999138,0.015191961,0.8133621877549977,0.8095264917593279,0.8114443397571627,0.0012201275,0.0006144836,0.0009173055231087433,0.015095549349956713,0.5661603716138613,0.5545911663066955,0.5870920086393089,0.7874511555804904,0.7762516846652269,0.8100339740820734,0.6338413148915337,0.6213020734341254,0.6567049028077754,0.7080933747556226,0.6956281425485961,0.7316984881209504,0.57174975
03691459,0.014303821,0.012546244,0.8900095450523996,0.8970031951862338,0.8935063701193167,0.00067451986,0.0005519037,0.0006132117579160395,0.013425032510177085,0.6942934896467834,0.7175976160990712,0.6785026006191951,0.8449077647345136,0.8660338080495357,0.8335391021671827,0.7532417289017302,0.7760324458204334,0.7389696594427244,0.8008877253691479,0.8231086687306501,0.7879851702786377,0.82324314
04090263,0.005705191,0.005577916,0.8787267380221123,0.8932437529095804,0.8859852454658463,7.099897e-05,6.0332415e-05,6.566569600526915e-05,0.00564155305926354,0.8773872210077197,0.8792772784810127,0.8761628481012659,0.9797351263827285,0.9813233755274262,0.9785839662447257,0.9222920245836109,0.9250258860759494,0.9201840506329114,0.9561898187817386,0.9587715611814346,0.9541663502109705,0.70021933
04256520,0.0096785445,0.009021598,0.9092662075835766,0.9125148865919998,0.9108905470877882,0.00024348733,0.00024202802,0.00024275766853020932,0.009350071252068088,0.7709834266128683,0.784147570977918,0.7609340851735016,0.9131424445053113,0.9234785015772871,0.9061373501577287,0.828666435376519,0.8416403627760253,0.8190097476340693,0.8746540842832041,0.886925378548896,0.8658010252365931,0.8317254
04379243,0.008022215,0.008500245,0.9163286346003078,0.9094775097164854,0.9129030721583966,0.00016129973,0.00021763745,0.00018946860097411312,0.008261230224519004,0.8160503591150403,0.8150543386243386,0.8197592768959436,0.9454218889119418,0.9413766019988242,0.9526219459141682,0.8733369694842867,0.87063620223398,0.8791496531452087,0.9147107161221798,0.9111829747207526,0.9215263080540858,0.71644354
04401088,0.0063269422,0.00677524,0.964446271692966,0.9625899764148942,0.9635181240539301,8.1018414e-05,0.00017325813,0.00012713826450808915,0.006551091171180208,0.8992517876800922,0.8993541428571429,0.9008776190476191,0.9723342129241876,0.9708845238095238,0.975416761904762,0.93535805300751,0.9347802380952381,0.9376838095238096,0.9571927506162112,0.9560932380952382,0.9600221428571428,0.8450967
04530566,0.011388173,0.009156104,0.8524281155583331,0.871205113420605,0.861816614489469,0.0003471643,0.00017295103,0.0002600576658210523,0.010272138677441181,0.6677843792291766,0.6908648320413436,0.6493698708010336,0.8748621726986061,0.9027373901808786,0.8527344444444445,0.7364058161404925,0.7621642635658914,0.7158279328165376,0.8072976142225539,0.8352205943152454,0.7850200516795866,0.7155227
