class id,mesh,time (encode inputs),n_decoder_calls,n_queries,n_query_chunks,time (decode),time (mise),time (host transfer),us_per_1k_queries,time (eval points),time (marching cubes)
02691156,4.6600000858306885,4.402815818786621,6.0,105245.0,6.0,0.016472816467285156,0.1418004035949707,0.0029773712158203125,156.51875592460598,0.1693415641784668,0.08211207389831543
02828884,0.29515910148620605,0.009124279022216797,11.0,93340.0,11.0,0.025367021560668945,0.1648249626159668,0.005182027816772461,271.77010457112647,0.20023775100708008,0.07925534248352051
02933112,0.22893834114074707,0.008599042892456055,6.0,111275.0,6.0,0.015752077102661133,0.11066746711730957,0.0030782222747802734,141.55989308165474,0.13328027725219727,0.08100533485412598
02958343,0.24363160133361816,0.013493776321411133,6.0,103384.0,6.0,0.04082655906677246,0.1009519100189209,0.004002809524536133,394.9021034857663,0.14976739883422852,0.07465624809265137
03001627,0.34464311599731445,0.01205134391784668,7.0,145564.0,7.0,0.06004595756530762,0.17961335182189941,0.0037152767181396484,412.5055478367427,0.24742698669433594,0.0766291618347168
03211117,0.1981828212738037,0.007191896438598633,6.0,93949.0,6.0,0.010823488235473633,0.09345579147338867,0.002524137496948242,115.20599724822652,0.11061787605285645,0.07445192337036133
03636649,0.24569392204284668,0.009128808975219727,7.0,115439.0,7.0,0.01484060287475586,0.1362321376800537,0.0029981136322021484,128.55796459390552,0.15703749656677246,0.07277464866638184
03691459,0.29274487495422363,0.009776115417480469,9.0,119921.0,9.0,0.017625093460083008,0.17569398880004883,0.004036426544189453,146.97253575339604,0.2014014720916748,0.07464385032653809
04090263,0.17484569549560547,0.007028102874755859,5.0,84589.0,5.0,0.010294198989868164,0.07040762901306152,0.0019068717956542969,121.69666256686051,0.08551454544067383,0.07858753204345703
04256520,0.237929105758667,0.006872892379760742,6.0,129748.0,6.0,0.013275623321533203,0.12584924697875977,0.0027854442596435547,102.31851991193085,0.1451256275177002,0.0790104866027832
04379243,0.49633145332336426,0.006627559661865234,16.0,131094.0,16.0,0.034501075744628906,0.3525421619415283,0.0073566436767578125,263.17814503050414,0.3989710807800293,0.08258461952209473
04401088,0.17426013946533203,0.008840560913085938,6.0,66040.0,6.0,0.011607885360717773,0.06126832962036133,0.002394437789916992,175.77052333006924,0.07802796363830566,0.08151960372924805
04530566,0.3137223720550537,0.013285160064697266,7.0,161318.0,7.0,0.0223541259765625,0.18305683135986328,0.0031328201293945312,138.5718021334414,0.21195077896118164,0.07736396789550781
