class id,mesh,time (encode inputs),time (eval points),time (marching cubes)
02691156,2.0466437339782715,1.8155841827392578,0.1562047004699707,0.0725705623626709
02828884,0.18851757049560547,0.008726835250854492,0.1047661304473877,0.07236957550048828
02933112,0.21192574501037598,0.008220911026000977,0.12520074844360352,0.07346105575561523
02958343,0.14561843872070312,0.00926828384399414,0.06768083572387695,0.06552863121032715
03001627,0.30872535705566406,0.00810384750366211,0.22406649589538574,0.06771278381347656
03211117,0.17578959465026855,0.009089231491088867,0.09438705444335938,0.06586480140686035
03636649,0.19170689582824707,0.008292198181152344,0.10863780975341797,0.06696176528930664
03691459,0.18365192413330078,0.009005546569824219,0.10570693016052246,0.06506824493408203
04090263,0.13617157936096191,0.009062051773071289,0.060843467712402344,0.0645592212677002
04256520,0.15906214714050293,0.009654998779296875,0.08018970489501953,0.06490039825439453
04379243,0.22742629051208496,0.008849859237670898,0.14128565788269043,0.07254981994628906
04401088,0.15446877479553223,0.008432149887084961,0.0792238712310791,0.06384897232055664
04530566,0.17827653884887695,0.009752273559570312,0.09985065460205078,0.06487703323364258
