class id,completeness (mesh),accuracy (mesh),normals completeness (mesh),normals accuracy (mesh),normals (mesh),completeness2 (mesh),accuracy2 (mesh),chamfer-L2 (mesh),chamfer-L1 (mesh),f-score-1 (mesh),precision-1 (mesh),recall-1 (mesh),f-score-2 (mesh),precision-2 (mesh),recall-2 (mesh),f-score-12 (mesh),precision-12 (mesh),recall-12 (mesh),f-score-15 (mesh),precision-15 (mesh),recall-15 (mesh),iou (mesh)
02691156,0.024942009206607364,0.015354079586745712,0.7552014904540463,0.8142222644571271,0.7847118774555867,0.002146132776454983,0.0004989918415597885,0.0013225623111284132,0.02014804444745497,0.45329705771559786,0.49041696406443613,0.4261145229244114,0.7007697294243836,0.7483540396530359,0.6656810780669145,0.5193257337758826,0.5597621437422553,0.48967912019826515,0.6005648215825555,0.6444697397769517,0.5683093184634449,0.5012638779700984
02828884,0.02341774904577077,0.017827371540723096,0.7564091756886109,0.7965177251076836,0.7764634503981472,0.001820007700312077,0.0007862717860260306,0.0013031397434697133,0.020622560306716473,0.41822524111749576,0.4528603856749311,0.3925544903581267,0.6909949449919385,0.7223015702479338,0.668135867768595,0.4879505700602181,0.5250358953168044,0.4603127548209366,0.5768096727980841,0.6137423966942148,0.5491852341597796,0.4126020943279027
02933112,0.02752165194410997,0.014872034403620062,0.8078911058786776,0.8854001521370537,0.8466456290078657,0.0019430038088670883,0.0005004618596318023,0.0012217328342320664,0.021196843200558976,0.4461180058081763,0.5258662101910828,0.40009716560509556,0.6745249320072766,0.782692101910828,0.6100010828025477,0.5096496610888244,0.5999285031847135,0.457597898089172,0.5870910447109898,0.6873974203821657,0.528570127388535,0.7141314910570528
02958343,0.025412866684811325,0.014395745311446832,0.7989622025995383,0.8767702900419165,0.8378662463207274,0.001349217630850957,0.0004219286125174854,0.0008855731226076708,0.01990430597638372,0.41392487669795525,0.4828852368245497,0.3681323015343563,0.6779437212937995,0.7880061240827219,0.6047746831220814,0.4835615426818752,0.5645263709139426,0.42993216144096064,0.5718276212455494,0.6673181254169447,0.5086061641094063,0.7047109726848724
03001627,0.03993825150303185,0.02457503053218786,0.7618604690975807,0.8131101485453184,0.7874853088214496,0.00607163996236593,0.0012283426502524494,0.0036499913080919335,0.03225664102104647,0.2940788067588883,0.3210973357933579,0.274754,0.531117586700059,0.5686250553505535,0.5043555498154982,0.34951133726114375,0.3803064797047971,0.32753541697416977,0.4241662062372004,0.45886556457564576,0.3994429594095941,0.46748676357337193
03211117,0.023801581683190173,0.02036572774429912,0.8489080021532401,0.8668851511325154,0.8578965766428778,0.0014668423331610553,0.0009431395024444204,0.0012049909079934844,0.022083654727565644,0.38494689648062125,0.41296698630136985,0.3651327853881278,0.6431063431973887,0.6762308219178083,0.6200113698630136,0.4508269069797798,0.48115246575342463,0.42944904109589044,0.5340640739432805,0.5665037899543379,0.5112397716894977,0.5801419927058189
03636649,0.08462637221371686,0.03429109179404664,0.641072384395389,0.688732936063532,0.6649026602294605,0.030135849493234633,0.0028464460613028234,0.016491147745842615,0.05945873202265023,0.21935736386730117,0.27920605664488013,0.18969555555555556,0.39502775049370104,0.48737825708061,0.34743283224400867,0.2597791898873905,0.3294034204793028,0.22510742919389978,0.31495926487375403,0.39642411764705887,0.2739797603485839,0.3040319653846778
03691459,0.03863271049601559,0.02160710543855425,0.799740508181614,0.8688398629363276,0.8342901855589708,0.004008280813002717,0.0012297673958708531,0.002619024106109354,0.030119907931243025,0.3874854961476268,0.46838907120743034,0.3421366253869969,0.5776463306251518,0.6810147058823529,0.5176784829721363,0.44130992363106303,0.5313411455108359,0.39088009287925696,0.5019452519552795,0.5994651702786378,0.44670065015479876,0.6890541347602942
04090263,0.016319943484416136,0.015634828190895397,0.7496250796846899,0.7550456282562408,0.7523353539704654,0.0008839760805701297,0.000552219381985443,0.0007180977285531561,0.015977385829763203,0.5054601353343804,0.4989545550847458,0.5181129661016949,0.7613827368423914,0.7498018008474576,0.7811849576271186,0.5764629699809601,0.568684470338983,0.5912623516949153,0.6626146673281125,0.6530406567796609,0.6800705932203389,0.43908500566810243
04256520,0.01938231180389691,0.017640651822125403,0.8433068848839883,0.8564704304653723,0.8498886576746801,0.0008446821947148722,0.0008364662104666807,0.0008405742021288564,0.018511481797587045,0.49468049481364224,0.5243622239747634,0.47134787066246053,0.7024271896248786,0.7349381703470032,0.6771208517350158,0.5534946371026319,0.585090283911672,0.5287958832807571,0.6209945687299668,0.6539001577287066,0.5953922082018928,0.6999039051331556
04379243,0.028222245088111015,0.0193320166248158,0.8069993189433525,0.8295736850056715,0.818286501974512,0.003919280771418661,0.0012153443209158208,0.0025673125521048887,0.023777130874326077,0.4962507855277941,0.5243182716049383,0.4766823398001176,0.7021702906686704,0.7333507701352145,0.6819395825984714,0.5548297949856348,0.5850865726043504,0.5340702821869489,0.6219755914672497,0.6536220928865373,0.6007143738977072,0.49991902112216197
04401088,0.018585335228237368,0.012846626951137469,0.8869107218177091,0.9231872802150582,0.9050490010163837,0.0009925099643407435,0.0005890682998835387,0.0007907891297474548,0.015715981121840222,0.6033740652510013,0.6706782380952381,0.5532742380952381,0.7836740407668474,0.8539432857142857,0.7307012857142857,0.6628378412366502,0.7340507142857143,0.6097228095238095,0.7207718288585651,0.7936762857142857,0.6662008095238096,0.6868195841709773
04530566,0.033839837812820996,0.020071957342191877,0.7309810842001281,0.7731034026963175,0.7520422434482228,0.004773461557012527,0.0007997047773066629,0.002786583167225398,0.026955897561262435,0.3467603417090854,0.39547839793281653,0.31660198966408265,0.5799648896107454,0.6434027131782946,0.5404370025839793,0.40389499937945206,0.4579383204134367,0.3704020413436692,0.47816510821891683,0.5377115762273902,0.4412616279069767,0.5209860587985922
